sample,ros_secs,ros_nsecs,ros_t_sec,rob_tx_mm,rob_ty_mm,rob_tz_mm,rob_qx,rob_qy,rob_qz,rob_qw,rob_roll_deg,rob_pitch_deg,rob_yaw_deg,brd_tx_m,brd_ty_m,brd_tz_m,brd_roll_deg,brd_pitch_deg,brd_yaw_deg
1,1775338697,88070392,1775338697.08807,32.2059,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003958,-0.070831,0.124312,31.2621,-13.0551,6.4093
2,1775338704,128825902,1775338704.128826,32.2059,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003961,-0.070839,0.124334,31.2659,-13.035,6.4233
3,1775338717,92965602,1775338717.092966,55.7319,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,0.004564,-0.082658,0.142793,31.2474,-13.0057,6.4276
4,1775338752,8610248,1775338752.00861,32.2639,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003934,-0.070839,0.12431,31.276,-13.0765,6.4027
5,1775338786,894194841,1775338786.894195,56.1469,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,0.00471,-0.082831,0.143064,31.308,-13.0225,6.407
6,1775338822,167487382,1775338822.167487,32.2649,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003939,-0.070873,0.12437,31.2181,-13.0528,6.4178
7,1775338857,164381265,1775338857.164381,56.1469,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,0.004714,-0.08282,0.143046,31.338,-13.0317,6.397
8,1775338892,97765684,1775338892.097766,32.5279,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003845,-0.070999,0.124594,31.2539,-13.0317,6.3995
9,1775338926,940799,1775338926.000941,55.8879,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,0.004615,-0.082697,0.142844,31.2882,-13.0343,6.3984
10,1775338943,62719345,1775338943.062719,32.6799,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.003782,-0.071085,0.124745,31.2723,-13.0176,6.4053
11,1775338953,975963115,1775338953.975963,31.9189,-97.3454,-4.7339,0.198737,0.218287,-0.045457,0.954352,23.5266,25.767,0.0,-0.004047,-0.070713,0.124181,31.3063,-13.0069,6.426
12,1775338982,846745252,1775338982.846745,32.2275,-97.3631,-4.6873,0.118978,0.221302,-0.027213,0.967538,14.0209,25.767,0.0,-0.008058,-0.07281,0.125199,27.8387,-8.9193,-1.2669
13,1775338994,379622936,1775338994.379623,32.1746,-97.3704,-4.7746,0.190177,0.299945,-0.061152,0.932806,23.0467,35.6505,-0.0,-0.002382,-0.073367,0.127956,21.3648,-13.6442,11.1885
14,1775339003,204947710,1775339003.204948,32.2073,-97.3861,-4.766,0.199464,0.13775,-0.028333,0.969761,23.2454,16.169,-0.0,-0.005718,-0.067871,0.121433,40.5386,-11.3255,1.3965
15,1775339035,896880626,1775339035.896881,32.2075,-98.1832,-4.7342,0.274491,0.294024,-0.088568,0.911241,33.5275,35.766,-0.0,0.002249,-0.070575,0.127079,24.1608,-16.9005,19.7443
16,1775339069,850917816,1775339069.850918,32.2061,-98.1831,-4.7356,0.28569,0.131339,-0.039561,0.948455,33.5263,15.768,0.0,-0.001057,-0.065283,0.121015,44.1492,-16.9795,7.885
17,1775339094,108524322,1775339094.108524,32.2228,-97.3551,-4.7076,0.116165,0.304638,-0.037463,0.944615,14.0216,35.749,0.0,-0.006258,-0.07534,0.128932,18.2736,-11.0007,3.3532
18,1775339106,921121120,1775339106.921121,32.2161,-97.3441,-4.7453,0.115196,0.14018,-0.016423,0.983265,13.3642,16.2275,0.0,-0.01012,-0.069836,0.122252,36.3813,-5.9041,-5.7654
