unix_time,elapsed_sec,stage,tip_error_mm,orientation_error_deg,gripper_drift_mm,tip_x_mm,tip_y_mm,tip_z_mm,gripper_x_mm,gripper_y_mm,gripper_z_mm
1782501538.974002,0.001413,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501538.982934,0.010346,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501538.992886,0.020298,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.002948,0.03036,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.012831,0.040243,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.022825,0.050236,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.032907,0.060319,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.042917,0.070329,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.052876,0.080287,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.062822,0.090234,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.072833,0.100244,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.082885,0.110296,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.092885,0.120296,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.102881,0.130292,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.112885,0.140296,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.122825,0.150236,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.132875,0.160286,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.142875,0.170286,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
1782501539.152879,0.18029,rotate_to_perpendicular_20deg,0.0,0.00103,0.0,-24.796967,-115.904262,-11.886371,-13.794466,-108.990552,14.789504
